Scenario,AMR004,TRN111,FTR029,FTR003,MOK028,MCD005,SAC000,SAC049,SAC122,SAC148,SAC257,SJR127,SAC289,SJR070,STS011,TUO003,YUB002
s0084,2,1,1,1,2,2,3,1,1,1,1,2,1,2,1,2,3
s0085,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3
s0087,2,3,4,2,3,4,2,2,2,2,1,3,2,2,2,2,4
s0088,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3
s0089,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
s0091,3,4,4,3,4,3,2,1,3,3,3,3,3,3,3,3,3
s0092,3,3,4,3,3,2,3,2,3,3,3,3,3,2,3,3,3
s0093,3,1,2,1,3,2,1,1,1,1,1,2,1,1,1,2,4
s0094,3,3,4,3,3,2,3,3,3,2,3,3,3,2,3,3,3
s0095,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
s0096,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
s0097,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
s0098,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
s0099,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
s0100,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
s0101,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
s0102,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
s0103,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
s0104,3,1,2,1,2,2,3,2,2,1,1,2,1,2,2,2,4
s0105,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
