"scenario_id","02_PU","02_SU","03_PU1","03_PU2","03_SU","11_NU1","12_NU1","13_NU1","16_PU","20_NU1","21_PU","24_NU1","24_NU2","24_NU3","25_PU","26N_NU1","26N_NU2","26N_NU3","26N_PU1","26N_PU2","26N_PU3","26S_NU1","26S_NU3","26S_PU1","26S_PU2","26S_PU4
","26S_PU5","26S_PU6
","50_PU","60N_NU1","60N_NU2","60S_NU1","61_NU2","62_NU","71_NU","72_NU","72_PU","90_PU","ACFC","AMADR","AMCYN","ANTOC","BNCIA","CCWD","CSB038","CSB103","CSPSO","CSTIC","ELDID_NA1","ELDID_NU1","ELDID_NU2","ELDID_NU3","ESB324","ESB347","ESB414","ESB415","ESB420","FRFLD","GDPUD_NU","GRSVL","JLIND","KCWA","MWD","NAPA","NAPA2","PCWA3","PLMAS","SBA029","SBA036","SCVWD","SUISN","SVWRD","TLMNE","TVAFB","UNION","UPANG","VLLJO","WLDWD"
"s0029",3,4,3,4,4,3,3,1,4,4,1,4,2,2,4,4,4,4,2,1,1,1,4,2,4,4,1,4,4,4,1,2,4,1,1,1,1,4,1,4,1,1,1,1,4,4,4,3,NA,1,1,1,4,4,4,4,4,1,2,3,1,4,1,1,3,1,3,4,4,4,4,4,1,1,1,1,3,3
"s0030",1,4,1,4,4,1,1,1,4,4,1,4,2,2,4,4,4,4,1,1,1,1,4,1,4,3,1,4,4,4,1,2,4,1,1,1,1,2,1,4,1,1,1,1,4,4,4,3,NA,1,1,1,4,4,4,4,4,1,1,1,1,4,1,1,3,1,1,4,4,2,4,4,1,1,1,1,2,3
"s0031",1,4,1,4,4,1,1,1,4,4,1,4,2,2,4,4,4,4,1,1,1,1,4,1,4,4,1,4,4,4,1,2,4,1,1,1,1,4,1,4,1,1,1,1,4,4,4,3,NA,1,1,1,4,4,4,4,4,1,2,3,1,4,1,1,3,1,3,4,4,4,4,4,1,1,1,1,2,3
"s0032",3,4,3,4,4,2,2,1,4,4,1,4,2,2,4,4,4,4,1,1,1,1,4,1,4,4,1,4,4,4,1,2,4,1,1,1,1,4,1,4,1,1,1,1,4,4,4,3,NA,1,1,1,4,4,4,4,4,1,2,1,1,4,1,1,3,2,3,4,4,4,4,4,1,1,1,1,2,3
"s0033",1,4,1,4,4,1,1,1,4,4,1,4,2,2,4,4,4,4,1,1,1,1,4,1,4,4,1,4,4,4,1,2,4,1,1,1,1,3,1,4,1,1,1,1,4,4,4,3,NA,1,1,1,4,4,4,4,4,1,2,1,1,4,1,1,3,2,3,4,4,3,4,4,1,1,1,1,2,3
"s0035",2,4,2,4,4,1,1,1,4,4,1,4,2,2,4,4,4,4,1,1,1,1,4,1,4,1,1,4,4,4,1,2,4,1,NA,1,1,3,1,4,1,1,1,1,4,4,4,3,4,1,1,1,4,4,4,4,4,1,2,3,1,4,1,1,3,1,3,4,4,1,4,4,1,1,1,1,2,3
"s0036",2,4,2,4,4,1,1,1,4,4,1,4,2,2,4,4,4,4,1,1,1,1,4,1,4,1,1,4,4,4,1,2,4,1,NA,1,1,2,1,4,1,1,1,1,4,4,4,3,NA,1,1,1,4,4,4,4,4,1,2,3,1,4,1,1,3,1,3,4,4,1,4,4,1,1,1,1,2,3
"s0037",3,4,2,4,4,1,1,1,4,4,1,4,2,2,4,4,4,4,1,1,1,1,4,1,4,1,1,4,4,4,1,2,4,1,NA,1,1,3,1,4,1,1,1,1,4,4,4,3,NA,1,1,1,4,4,4,4,4,1,2,3,1,4,1,1,3,1,3,4,4,1,4,4,1,1,1,1,2,3
"s0039",2,4,3,4,4,1,1,1,4,4,1,4,4,2,4,4,4,4,1,1,1,1,4,1,4,4,4,4,4,4,1,2,4,1,1,1,1,4,1,4,1,1,1,1,4,4,4,3,NA,1,1,1,4,4,4,4,4,1,2,2,1,4,1,1,3,2,3,4,4,4,4,4,1,1,1,1,1,3
"s0040",1,4,3,4,4,1,1,1,4,4,1,4,4,2,4,4,4,4,1,1,1,1,4,1,4,4,3,4,4,4,1,2,4,1,1,1,1,4,1,4,1,1,1,1,4,4,4,3,NA,1,1,1,4,4,4,4,4,1,2,2,1,4,1,1,3,2,3,4,4,4,4,4,1,1,1,1,1,3
"s0041",1,4,3,4,4,1,1,1,4,4,1,4,4,2,4,4,4,4,1,1,1,1,4,1,4,4,3,4,4,4,1,2,4,1,1,1,1,4,1,4,1,1,1,1,4,4,4,3,NA,1,1,1,4,4,4,4,4,1,2,2,1,4,1,1,3,2,3,4,4,4,4,4,1,1,1,1,1,3
"s0042",2,4,3,4,4,1,1,1,4,4,1,4,4,2,4,4,4,4,1,1,1,1,4,1,4,4,4,4,4,4,1,2,4,1,1,1,1,4,1,4,1,1,1,1,4,4,4,3,NA,1,1,1,4,4,4,4,4,1,2,2,1,4,1,1,3,2,3,4,4,4,4,4,1,1,1,1,1,3
"s0044",1,4,3,4,4,1,1,1,4,4,1,4,2,2,4,4,4,4,1,1,1,1,4,1,4,3,3,4,4,4,1,2,4,1,NA,1,1,4,1,4,1,1,1,1,4,4,4,3,NA,1,1,1,4,4,4,4,4,1,2,3,1,4,1,1,3,1,3,4,4,4,4,4,1,1,1,1,2,3
"s0045",3,4,1,4,4,1,1,1,4,4,1,4,2,2,4,4,4,4,1,1,1,1,4,1,4,3,1,4,4,4,1,2,4,1,NA,1,1,3,1,4,1,1,1,1,4,4,4,3,NA,1,1,1,4,4,4,4,4,1,2,3,1,4,1,1,3,1,3,4,4,3,4,4,1,1,1,1,2,3
"s0046",3,4,3,4,4,2,2,1,4,4,1,4,2,2,4,4,4,4,1,1,1,1,4,1,4,4,1,4,4,4,1,2,4,1,1,1,1,4,1,4,1,1,1,1,4,4,4,3,NA,1,1,1,4,4,4,4,4,1,2,3,1,4,1,1,3,1,3,4,4,4,4,4,1,1,1,1,2,3
"s0065",3,4,3,4,4,3,3,3,4,4,3,4,3,3,4,4,4,4,3,3,3,3,4,3,4,3,3,4,4,4,1,2,4,1,1,1,1,3,1,4,1,1,1,1,4,4,4,4,NA,1,1,3,4,4,4,4,4,1,2,3,1,NA,1,1,3,2,3,4,4,3,4,4,1,1,1,1,3,3
