short_code,name,description,comment,entity_type_id,type_id,subtype_ids,model_list,source_list,has_gis,hydrologic_region_id,network_version_id
07N_PA,,"Glide WD, Holthouse WD (part), Kanawha WD, Orland-Artois WD",,2.0,,{},{1},{9},False,,12
07S_NA,,Non-District,,2.0,,{},{1},{9},False,,12
07S_NU,,"Arbuckle PUD, Cachville CSD, Small Communities",,2.0,,{},{1},{9},False,,12
07S_PA,,"4-M WD, Colusa County WD, Cortina WD, Davis WD, Dunnigan WD, Glenn Valley WD, Holthouse WD (part), La Grande WD, Myers-Marsh MWC, Westside WD",,2.0,,{},{1},{9},False,,12
08N_NA,,Non-District,,2.0,,{},{1},{9},False,,12
08N_NU,,"Hamilton City, Small Communities",,2.0,,{},{1},{9},False,,12
08N_PA,,Colusa Drain MWC,,2.0,,{},{1},{9},False,,12
08N_PR1,,Sacramento NWR,,,,{},{1},{9},False,,12
08N_PR2,,Delevan NWR,,,,{},{1},{9},False,,12
08N_SA1,,"Princeton-Cordora-Glenn ID, Provident ID, Maxwell ID (part), Misc. Settlement Contractors",,,,{},{1},{9},False,,12
08N_SA2,,Glenn-Colusa ID (part),,,,{},{1},{9},False,,12
08S_NA1,,Non-District,,,,{},{1},{9},False,,12
08S_NA2,,Non-District,,,,{},{1},{9},False,,12
08S_NU,,"City of Colusa, Williams, Small Communities",,2.0,,{},{1},{9},False,,12
08S_PA,,Colusa Drain MWC (part),,2.0,,{},{1},{9},False,,12
08S_PR,,Colusa NWR,,2.0,,{},{1},{9},False,,12
08S_SA1,,"Maxwell ID (portion), Roberts Ditch IC, Sycamore Family Trust, Misc. Settlement Contractors",,,,{},{1},{9},False,,12
08S_SA2,,Glenn-Colusa ID (part),,,,{},{1},{9},False,,12
08S_SA3,,"RD 108, River Garden Farms, Misc. Settlement Contractors",,,,{},{1},{9},False,,12
09_NA,,"Llano Seco Rancho, Dayton MWC, Non-District",,2.0,,{},{1},{9},False,,12
09_NU,,Small communities,,2.0,,{},{1},{9},False,,12
09_PR,,Upper Butte Wildlife Area and Sacramento River NWR - Llano Seco Units,,2.0,,{},{1},{9},False,,12
09_SA1,,Pacific Realty Associates (M&T Chico Ranch),,2.0,,{},{1},{9},False,,12
09_SA2,,"RD 1004, Carter MWC, Jack Baber, Misc. Settlement Contractors",,2.0,,{},{1},{9},False,,12
10_NA,,Non-District,,2.0,,{},{1},{9},False,,12
10_NU1,,CalWater (Chico),,2.0,,{},{1},{9},False,,12
10_NU2,,Durham ID Small Communities,,2.0,,{},{1},{9},False,,12
11_NA,,"Sutter Butte MWC, Non-District",,2.0,,{},{1},{9},False,,12
11_NU1,,Thermalito ID (Oroville),,2.0,,{},{1},{9},False,,12
11_NU2,,"City of Biggs, Gridley, Live Oak WD, Small Communities",,2.0,,{},{1},{9},False,,12
11_PR,,Upper Butte Basin Wildlife Area Howard Slough Unit and Little Dry Creek,,2.0,,{},{1},{9},False,,12
11_SA1,,Western Canal WD,,2.0,,{},{1},{9},False,,12
11_SA2,,Richvale ID,,2.0,,{},{1},{9},False,,12
11_SA3,,"Biggs-West Gridley WD, Butte WD",,2.0,,{},{1},{9},False,,12
11_SA4,,Sutter Extension WD,,2.0,,{},{1},{9},False,,12
12_NA,,Non-District,,2.0,,{},{1},{9},False,,12
12_NU1,,CalWater (Oroville),,2.0,,{},{1},{9},False,,12
12_NU2,,Small Communities,,2.0,,{},{1},{9},False,,12
12_SA,,Misc. FRSA Diverters,,2.0,,{},{1},{9},False,,12
13_NA,,"South Feather Water and Power Agency, Yuba County WD, Non-District",,2.0,,{},{1},{9},False,,12
13_NU1,,South Feather Water and Power Agency (Oroville),,2.0,,{},{1},{9},False,,12
13_NU2,,Small Communities,,2.0,,{},{1},{9},False,,12
14_NA,,Browns Valley ID,,2.0,,{},{1},{9},False,,12
14_NU,,Small Communities,,2.0,,{},{1},{9},False,,12
15N_NA1,,Non-District,,,,{},{1},{9},False,,12
15N_NA2,,"Cordua ID, Hallwood ID, Ramirez WD",,,,{},{1},{9},False,,12
15N_NU,,"CalWater (Marysville), Small Communities",,2.0,,{},{1},{9},False,,12
15N_SA,,Misc. FRSA Diverters,,2.0,,{},{1},{9},False,,12
15S_NA1,,Non-District,,,,{},{1},{9},False,,12
15S_NA2,,"Brophy WD, Dry Creek MWC, South Yuba WD, Wheatland WD",,,,{},{1},{9},False,,12
15S_NU,,"Olivehurst PUD, City of Wheatland, Linda County WD, Small Communities",,2.0,,{},{1},{9},False,,12
15S_SA,,"Plumas MWC, Misc. FRSA Diverters",,2.0,,{},{1},{9},False,,12
16_NA1,,Non-District,,2.0,,{},{1},{9},False,,12
16_NA2,,Non-district,,2.0,,{},{1},{9},False,,12
16_NU,,Small Communities,,2.0,,{},{1},{9},False,,12
16_PA,,Feather WD,,2.0,,{},{1},{9},False,,12
16_PU,,City of Yuba City,,2.0,,{},{1},{9},False,,12
16_SA,,"Garden Highway MWC, Tudor ID, Oswald MWC, Misc. FRSA Diverters",,2.0,,{},{1},{9},False,,12
17N_NA,,"Non-Project, Non-District",,2.0,,{},{1},{9},False,,12
17N_NR,,Sutter and Butte Sink Duck Clubs,,2.0,,{},{1},{9},False,,12
17N_NU,,Small Communities,,2.0,,{},{1},{9},False,,12
17N_PR,,Gray Lodge WA,,2.0,,{},{1},{9},False,,12
17S_NA,,"Sutter Bypass-Butte Slough WUA, Non-district",,2.0,,{},{1},{9},False,,12
17S_NU,,Sutter CSD Small Communities,,2.0,,{},{1},{9},False,,12
17S_PR,,Sutter NWR,,2.0,,{},{1},{9},False,,12
17S_SA,,Misc. FRSA Diverters,,2.0,,{},{1},{9},False,,12
18_NA,,"Butte Slough IC, Sutter Butte MWC, Non-District",,2.0,,{},{1},{9},False,,12
18_NU,,Small communities,,2.0,,{},{1},{9},False,,12
18_SA,,"Meridian Farms WC, Lomo Cold Storage, Sutter MWC (part), Tisdale IDC, Misc. Settlement Contractors",,2.0,,{},{1},{9},False,,12
19_NU,,Small communities,,2.0,,{},{1},{9},False,,12
19_SA,,"Sutter MWC (part), Pelger MWC, Bardis et al., Misc. Settlement Contractors",,2.0,,{},{1},{9},False,,12
20_NA1,,Yolo County FCWCD,,2.0,,{},{1},{9},False,,12
20_NA2,,Non-District,,2.0,,{},{1},{9},False,,12
20_NU1,,"City of Davis, Woodland, and UC Davis",,2.0,,{},{1},{9},False,,12
20_NU2,,"Winters, Esparto CSD, Madison CSD, small communities",,2.0,,{},{1},{9},False,,12
20_PA,,UC Davis,,2.0,,{},{1},{9},False,,12
21_NA,,Non-District,,2.0,,{},{1},{9},False,,12
21_NU,,Knights Landing CSD Small communities,,2.0,,{},{1},{9},False,,12
21_PA,,Colusa Drain MWC,,2.0,,{},{1},{9},False,,12
21_PU,,City of West Sacramento,,2.0,,{},{1},{9},False,,12
21_SA,,"Conaway Conservancy Group (RD 2035), Sacramento River Ranch LLC, Misc. Settlement Contractors",,2.0,,{},{1},{9},False,,12
22_NA,,Non-District,,2.0,,{},{1},{9},False,,12
22_NU,,"Sacramento International Airport, Northgate, Small Communities",,2.0,,{},{1},{9},False,,12
22_SA1,,"Natomas Central MWD, Pleasant Grove-Verona MWC, Misc. Settlement Contractors",,2.0,,{},{1},{9},False,,12
22_SA2,,Misc. FRSA Diverters,,2.0,,{},{1},{9},False,,12
23_NA,,"Camp Far West ID, South Sutter WD, Non-District",,2.0,,{},{1},{9},False,,12
23_NU,,Small Communities,,2.0,,{},{1},{9},False,,12
24_NA1,,Nevada ID,,2.0,,{},{1},{9},False,,12
24_NA2,,"Placer County WA Zone 5, Non-District",,2.0,,{},{1},{9},False,,12
24_NA3,,Placer County WA Zone 1,,2.0,,{},{1},{9},False,,12
24_NU1,,"Placer County WA (City of Auburn, Bowman, Ophir, Newcastle)",,2.0,,{},{1},{9},False,,12
24_NU2,,"Placer County WA (City of Loomis, Penryn, Rocklin, Lincoln, Granite Bay, part of Roseville)",,2.0,,{},{1},{9},False,,12
24_NU3,,Nevada ID (North Auburn),,2.0,,{},{1},{9},False,,12
24_NU4,,Small Communities,,2.0,,{},{1},{9},False,,12
25_NA,,Non-District,,2.0,,{},{1},{9},False,,12
25_NU,,"CalWater (Dixon), Rio Vista, Small Communities",,2.0,,{},{1},{9},False,,12
25_PA1,,Solano ID (North),,2.0,,{},{1},{9},False,,12
25_PA2,,Maine Prarie WD,,2.0,,{},{1},{9},False,,12
25_PU,,City of Vacaville,,2.0,,{},{1},{9},False,,12
26N_NA,,Non-District,,2.0,,{},{1},{9},False,,12
26N_NU1,,"Sacramento Suburban WD (Northridge, North Highlands) Cal. Am. WC (Antelope, Lincoln Oaks) Rio Linda Elverta CWD (Rio Linda, Elverta)",,,,{},{1},{9},False,,12
26N_NU2,,Carmichael WD,,,,{},{1},{9},False,,12
26N_NU3,,City of Sacramento North of River,,,,{},{1},{9},False,,12
26N_NU4,,Sacramento Suburban WD (Aracde),,,,{},{1},{9},False,,12
26N_NU5,,"Golden State WC, Sacramento County WA Zone 41, Del Paso Manor WD, Cal. Am WC",,,,{},{1},{9},False,,12
26N_PU1,,City of Roseville,,,,{},{1},{9},False,,12
26N_PU2,,San Juan WD,,,,{},{1},{9},False,,12
26N_PU3,,"Orange Vale WC, Citrus Heights WD, Fair Oaks WD",,,,{},{1},{9},False,,12
26S_NA,,Non-District,,2.0,,{},{1},{9},False,,12
26S_NU1,,City of Sacramento South of River,,,,{},{1},{9},False,,12
26S_NU2,,"Cal. Am. WC (Parkway, Rosemont), Sacramento County WA Zone 41",,,,{},{1},{9},False,,12
26S_NU3,,"Florin County WD, Elk Grove WSC",,,,{},{1},{9},False,,12
26S_NU4,,Aerojet/Boeing GW Remediation Program,,,,{},{1},{9},False,,12
26S_PU1,,"City of Folsom, Folsom State Prison",,,,{},{1},{9},False,,12
26S_PU2,,Golden State WC,,,,{},{1},{9},False,,12
26S_PU3,,California Parks and Recreation,,,,{},{1},{9},False,,12
26S_PU4,,"Sacramento County WA Zone 41 (Laguna, Franklin)",,,,{},{1},{9},False,,12
26S_PU5,,Elk Grove WSC (East Elk Grove),,,,{},{1},{9},False,,12
26S_PU6,,"Cal. Am. WC, Sacramento County WA Zone 41 (Vineyard, Sunrise Douglas, Mather, Sunrise, Rio Del Oro, Security Park, Grantline 99, Tokay Park)",,,,{},{1},{9},False,,12
3Bs,,,,2.0,,{},{1},{9},False,,12
50_PA1,,Banta Carbona ID Westside ID,,2.0,,{},{1},{9},False,,12
50_PA2,,Byron Bethany ID,,2.0,,{},{1},{9},False,,12
50_PU,,City of Tracy Mountain House CSD,,2.0,,{},{1},{9},False,,12
60N_NA1,,Jackson Valley ID,,,,{},{1},{9},False,,12
60N_NA2,,"Omochumne- Hartnell  WD Galt ID, Clay WD",,,,{},{1},{9},False,,12
60N_NA3,,North San Joaquin WCD,,,,{},{1},{9},False,,12
60N_NA4,,Woodbridge ID Woodbridge Users Association,,,,{},{1},{9},False,,12
60N_NA5,,Non-District,,,,{},{1},{9},False,,12
60N_NU1,,Cities of Galt and Lodi small communities,,,,{},{1},{9},False,,12
60N_NU2,,Rancho Murieta,,,,{},{1},{9},False,,12
60N_PU,,SMUD Rancho Seco Power Plant,,2.0,,{},{1},{9},False,,12
60S_NA1,,Non-District East,,,,{},{1},{9},False,,12
60S_NA2,,Non-District West,,,,{},{1},{9},False,,12
60S_NU1,,City of Stockton,,,,{},{1},{9},False,,12
60S_NU2,,Small Communities,,,,{},{1},{9},False,,12
60S_PA1,,Stockton East WD,,,,{},{1},{9},False,,12
60S_PA2,,Central San Joaquin WCD,,,,{},{1},{9},False,,12
61_NA1,,Non-District East,,2.0,,{},{1},{9},False,,12
61_NA2,,Modesto ID,,2.0,,{},{1},{9},False,,12
61_NA3,,Tuolumne River Riparian,,2.0,,{},{1},{9},False,,12
61_NA4,,Stanislaus Riparian,,2.0,,{},{1},{9},False,,12
61_NA5,,San Joaquin River Riparian,,2.0,,{},{1},{9},False,,12
61_NA6,,Non-District,,2.0,,{},{1},{9},False,,12
61_NU1,,City of Modesto,,2.0,,{},{1},{9},False,,12
61_NU2,,"Cities of Lathrop, Manteca and Escalon",,2.0,,{},{1},{9},False,,12
61_NU3,,"Cities of Oakdale, Ripon and Riverbank small communities",,2.0,,{},{1},{9},False,,12
61_PA1,,Oakdale ID North,,2.0,,{},{1},{9},False,,12
61_PA2,,Oakdale ID South,,2.0,,{},{1},{9},False,,12
61_PA3,,South San Joaquin ID,,2.0,,{},{1},{9},False,,12
62_NA1,,Non-District East,,2.0,,{},{1},{9},False,,12
62_NA2,,Merced Riparian,,2.0,,{},{1},{9},False,,12
62_NA3,,Turlock ID,,2.0,,{},{1},{9},False,,12
62_NA4,,Tuolumne River Riparian,,2.0,,{},{1},{9},False,,12
62_NA5,,San Joaquin River Riparian,,2.0,,{},{1},{9},False,,12
62_NA6,,Merced ID North,,2.0,,{},{1},{9},False,,12
62_NU,,"Cities of Turlock, Ceres, Dehli, Hilmar, Hughson, Keyes and Denair small communities",,2.0,,{},{1},{9},False,,12
63_NA1,,Non-District East,,2.0,,{},{1},{9},False,,12
63_NA2,,Merced Riparian,,2.0,,{},{1},{9},False,,12
63_NA3,,Merced ID South,,2.0,,{},{1},{9},False,,12
63_NA4,,"Plainsburg ID, La Grande-Athlone, Turner Island WD, Stevinson WD, Non-District, Merced Riparian",,2.0,,{},{1},{9},False,,12
63_NA5,,El Nido ID,,2.0,,{},{1},{9},False,,12
63_NU,,"Cities of Merced, Atwater, Livingston, Winton, Planada and LeGrand small communities",,2.0,,{},{1},{9},False,,12
63_PR1,,Arena Plains Unit of Merced NWR,,2.0,,{},{1},{9},False,,12
63_PR2,,Merced and Lone Tree units of Merced NWR,,2.0,,{},{1},{9},False,,12
63_PR3,,East Bear Unit of San Luis NWR,,2.0,,{},{1},{9},False,,12
64_NA1,,Non-District,,2.0,,{},{1},{9},False,,12
64_NA2,,Non-District West,,2.0,,{},{1},{9},False,,12
64_NU,,"Cities of Madera, Chowchilla, Madera Acres, and State Prisons small communities",,2.0,,{},{1},{9},False,,12
64_PA1,,Madera ID Madera WD,,2.0,,{},{1},{9},False,,12
64_PA2,,Chowchilla WD,,2.0,,{},{1},{9},False,,12
64_PA3,,Gravelly Ford WD Root Creek WD,,2.0,,{},{1},{9},False,,12
64_XA,,Columbia Canal Company,,2.0,,{},{1},{9},False,,12
71_NA1,,Twin Oaks IC,,2.0,,{},{1},{9},False,,12
71_NA2,,"El Solyo WD, NBINV AP6 LLC",,2.0,,{},{1},{9},False,,12
71_NA3,,Non-District,,2.0,,{},{1},{9},False,,12
71_NU,,City of Patterson Small Communities,,2.0,,{},{1},{9},False,,12
71_PA1,,Hospital WD,,2.0,,{},{1},{9},False,,12
71_PA2,,West Stanislaus ID,,2.0,,{},{1},{9},False,,12
71_PA3,,Kern Canon WD,,2.0,,{},{1},{9},False,,12
71_PA4,,Patterson ID,,2.0,,{},{1},{9},False,,12
71_PA5,,"Del Puerto WD, Salado W Orestimba WD, Sunflower WD",,2.0,,{},{1},{9},False,,12
71_PA6,,"Davis WD, Foothill WD, Mustang WD, Quinto WD, Romero WD, Centinella WD",,2.0,,{},{1},{9},False,,12
71_PA7,,Oak Flat,,2.0,,{},{1},{9},False,,12
71_PA8,,Byron-Bethany ID (part that was formerly Plainview ID),,2.0,,{},{1},{9},False,,12
71_PU1,,Musco Olive Products,,2.0,,{},{1},{9},False,,12
71_PU2,,VA Cemetary,,2.0,,{},{1},{9},False,,12
72_NA1,,Souza & Sons,,2.0,,{},{1},{9},False,,12
72_NA2,,,,2.0,,{},{1},{9},False,,12
72_NU,,"Gustine, Firebaugh Los Banos, Newman small communities",,2.0,,{},{1},{9},False,,12
72_PA,,Laguna WD,,2.0,,{},{1},{9},False,,12
72_PR1,,Volta WA,,2.0,,{},{1},{9},False,,12
72_PR2,,Kesterson NWR Freitas and Blue Goose units of San Luis NWR,,2.0,,{},{1},{9},False,,12
72_PR3,,West Bear Creek and San Luis units of San Luis NWR,,2.0,,{},{1},{9},False,,12
72_PR4,,"Los Banos WA Salt Slough, China Island and Gadwall units of North Grassland WA",,2.0,,{},{1},{9},False,,12
72_PR5,,Grassland WD North,,2.0,,{},{1},{9},False,,12
72_PR6,,Grassland WD (South),,2.0,,{},{1},{9},False,,12
72_PU,,City of Los Banos,,2.0,,{},{1},{9},False,,12
72_XA1,,,,2.0,,{},{1},{9},False,,12
72_XA2,,Central California  ID (South),,2.0,,{},{1},{9},False,,12
72_XA3,,Central California  ID (North),,2.0,,{},{1},{9},False,,12
73_NA,,,,2.0,,{},{1},{9},False,,12
73_NU,,Small Communities,,2.0,,{},{1},{9},False,,12
73_PA1,,San Luis WD (N),,2.0,,{},{1},{9},False,,12
73_PA2,,"Eagle Field WD, Mercy Springs WD, Oro Loma WD",,2.0,,{},{1},{9},False,,12
73_PA3,,"San Luis WD (S), Pacheco WD, Panoche WD",,2.0,,{},{1},{9},False,,12
73_XA,,Firebaugh Canal Company,,2.0,,{},{1},{9},False,,12
90_PA1,,Westlands WD Priority I,,2.0,,{},{1},{9},False,,12
90_PA2,,Westlands WD Priority II,,2.0,,{},{1},{9},False,,12
90_PU,,"Avenal, Coalinga, Huron",,2.0,,{},{1},{9},False,,12
91_PA,,"Coelho Family Trust, Fresno Slough WD, James ID, RD 1606, Tranquility ID, Tranquility PUD",,2.0,,{},{1},{9},False,,12
91_PR,,Mendota WA,,2.0,,{},{1},{9},False,,12
ABN000,,,,2.0,,{},{1},{9},False,,12
ABN006,,,,2.0,,{},{1},{9},False,,12
ABN010,,,,2.0,,{},{1},{9},False,,12
ABN014,,,,2.0,,{},{1},{9},False,,12
ABN024,,,,2.0,,{},{1},{9},False,,12
ABN026,,,,2.0,,{},{1},{9},False,,12
ABN027,,,,2.0,,{},{1},{9},False,,12
ABT002,,,,2.0,,{},{1},{9},False,,12
AD,,Pumping Plant,,2.0,,{},{1},{9},False,,12
ALD001,,,,2.0,,{},{1},{9},False,,12
ALD002,,,,2.0,,{},{1},{9},False,,12
ALD004,,,,2.0,,{},{1},{9},False,,12
ALMNR,,,,2.0,,{},{1},{9},False,,12
ALOHA,,,,2.0,,{},{1},{9},False,,12
ALPNE,,,,2.0,,{},{1},{9},False,,12
AMADR,,,,2.0,,{},{1},{9},False,,12
AMADR_NU,,,,,,{},{1},{9},False,,12
AMR004,,,,2.0,,{},{1},{9},False,,12
AMR006,,,,2.0,,{},{1},{9},False,,12
AMR007,,,,2.0,,{},{1},{9},False,,12
AMR009,,,,2.0,,{},{1},{9},False,,12
AMR015,,,,2.0,,{},{1},{9},False,,12
AMR017,,,,2.0,,{},{1},{9},False,,12
AMR020,,,,2.0,,{},{1},{9},False,,12
AMR022,,,,2.0,,{},{1},{9},False,,12
ANC000,,,,2.0,,{},{1},{9},False,,12
ANG010,,,,2.0,,{},{1},{9},False,,12
ANG014,,,,2.0,,{},{1},{9},False,,12
ANG015,,,,2.0,,{},{1},{9},False,,12
ANG017,,,,2.0,,{},{1},{9},False,,12
ANGLS,,,,2.0,,{},{1},{9},False,,12
ANT010,,,,2.0,,{},{1},{9},False,,12
ANT011,,,,2.0,,{},{1},{9},False,,12
ANTLP,,,,2.0,,{},{1},{9},False,,12
ARY010,,,,2.0,,{},{1},{9},False,,12
ASL013,,,,2.0,,{},{1},{9},False,,12
AWWWTP,,,,2.0,,{},{1},{9},False,,12
Accretions,,and discharges to Long Ravine not modeled in CalSim 3.0,,,,{},{1},{9},False,,12
Adams,,,,2.0,,{},{1},{9},False,,12
Alameda,,,,,,{},{1},{9},False,,12
Alamo,,,,2.0,,{},{1},{9},False,,12
Alder,,,,2.0,,{},{1},{9},False,,12
All,,to groundwater,,2.0,,{},{1},{9},False,,12
Amador,,,,2.0,,{},{1},{9},False,,12
America,,,,,,{},{1},{9},False,,12
Angels,,,,2.0,,{},{1},{9},False,,12
Antelope,,,,,,{},{1},{9},False,,12
Ash,,,,2.0,,{},{1},{9},False,,12
Atwater,,,,,,{},{1},{9},False,,12
BANOS,,,,2.0,,{},{1},{9},False,,12
BASSL,,,,2.0,,{},{1},{9},False,,12
BCB001,,,,2.0,,{},{1},{9},False,,12
BCC004,,,,2.0,,{},{1},{9},False,,12
BCC006,,,,2.0,,{},{1},{9},False,,12
BCC012,,,,2.0,,{},{1},{9},False,,12
BCC014,,,,2.0,,{},{1},{9},False,,12
BCK006,,,,2.0,,{},{1},{9},False,,12
BCK010,,,,2.0,,{},{1},{9},False,,12
BCK017,,,,2.0,,{},{1},{9},False,,12
BCK024,,,,2.0,,{},{1},{9},False,,12
BCK027,,,,2.0,,{},{1},{9},False,,12
BCK031,,,,2.0,,{},{1},{9},False,,12
BCK033,,,,2.0,,{},{1},{9},False,,12
BCK035,,,,2.0,,{},{1},{9},False,,12
BCK040,,,,2.0,,{},{1},{9},False,,12
BCM003,,,,2.0,,{},{1},{9},False,,12
BCN005,,,,2.0,,{},{1},{9},False,,12
BCN010,,,,2.0,,{},{1},{9},False,,12
BCPH2A,,,,2.0,,{},{1},{9},False,,12
BCT001,,,,2.0,,{},{1},{9},False,,12
BEARD,,,,2.0,,{},{1},{9},False,,12
BEC000,,,,2.0,,{},{1},{9},False,,12
BEC021,,,,2.0,,{},{1},{9},False,,12
BEC022,,,,2.0,,{},{1},{9},False,,12
BEC024,,,,2.0,,{},{1},{9},False,,12
BGC001,,,,2.0,,{},{1},{9},False,,12
BGC002,,,,2.0,,{},{1},{9},False,,12
BGC003,,,,2.0,,{},{1},{9},False,,12
BGC004,,,,2.0,,{},{1},{9},False,,12
BGC008,,,,2.0,,{},{1},{9},False,,12
BGC011,,,,2.0,,{},{1},{9},False,,12
BGCD4,,,,2.0,,{},{1},{9},False,,12
BGCD5,,,,2.0,,{},{1},{9},False,,12
BGCD6,,,,2.0,,{},{1},{9},False,,12
BGD000,,,,2.0,,{},{1},{9},False,,12
BKR004,,,,2.0,,{},{1},{9},False,,12
BLKBT,,,,2.0,,{},{1},{9},False,,12
BLSMM,,,,2.0,,{},{1},{9},False,,12
BLT000,,,,2.0,,{},{1},{9},False,,12
BLUMD,,,,2.0,,{},{1},{9},False,,12
BOC001,,,,2.0,,{},{1},{9},False,,12
BOC002,,,,2.0,,{},{1},{9},False,,12
BOWMN,,,,2.0,,{},{1},{9},False,,12
BP1003,,,,2.0,,{},{1},{9},False,,12
BP2001,,,,2.0,,{},{1},{9},False,,12
BP2004,,,,2.0,,{},{1},{9},False,,12
BP3005,,,,2.0,,{},{1},{9},False,,12
BP8001,,,,2.0,,{},{1},{9},False,,12
BPA003,,,,2.0,,{},{1},{9},False,,12
BRC000,,,,2.0,,{},{1},{9},False,,12
BRC001,,,,2.0,,{},{1},{9},False,,12
BRC002,,,,2.0,,{},{1},{9},False,,12
BRC003,,,,2.0,,{},{1},{9},False,,12
BRR004,,,,2.0,,{},{1},{9},False,,12
BRR011,,,,2.0,,{},{1},{9},False,,12
BRR017,,,,2.0,,{},{1},{9},False,,12
BRR023,,,,2.0,,{},{1},{9},False,,12
BRR028,,,,2.0,,{},{1},{9},False,,12
BRR031,,,,2.0,,{},{1},{9},False,,12
BRR049,,,,2.0,,{},{1},{9},False,,12
BRR050,,,,2.0,,{},{1},{9},False,,12
BRR060,,,,2.0,,{},{1},{9},False,,12
BRR061,,,,2.0,,{},{1},{9},False,,12
BRR066,,,,2.0,,{},{1},{9},False,,12
BRR067,,,,2.0,,{},{1},{9},False,,12
BRR072,,,,2.0,,{},{1},{9},False,,12
BRR073,,,,2.0,,{},{1},{9},False,,12
BRR074,,,,2.0,,{},{1},{9},False,,12
BRS018,,,,2.0,,{},{1},{9},False,,12
BRT003,,,,2.0,,{},{1},{9},False,,12
BRV002,,,,2.0,,{},{1},{9},False,,12
BRV003,,,,2.0,,{},{1},{9},False,,12
BRV005,,,,2.0,,{},{1},{9},False,,12
BRYSA,,,,2.0,,{},{1},{9},False,,12
BSC000,,,,2.0,,{},{1},{9},False,,12
BSC005,,,,2.0,,{},{1},{9},False,,12
BSC009,,,,2.0,,{},{1},{9},False,,12
BSC010,,,,2.0,,{},{1},{9},False,,12
BSC011,,,,2.0,,{},{1},{9},False,,12
BSH002,,,,2.0,,{},{1},{9},False,,12
BSH003,,,,2.0,,{},{1},{9},False,,12
BSL000,,,,2.0,,{},{1},{9},False,,12
BSL001,,,,2.0,,{},{1},{9},False,,12
BSL004,,,,2.0,,{},{1},{9},False,,12
BSM001,,,,2.0,,{},{1},{9},False,,12
BTC003,,,,2.0,,{},{1},{9},False,,12
BTC007,,,,2.0,,{},{1},{9},False,,12
BTC012,,,,2.0,,{},{1},{9},False,,12
BTC015,,,,2.0,,{},{1},{9},False,,12
BTC016,,,,2.0,,{},{1},{9},False,,12
BTC017,,,,2.0,,{},{1},{9},False,,12
BTC018,,,,2.0,,{},{1},{9},False,,12
BTC024,,,,2.0,,{},{1},{9},False,,12
BTC029,,,,2.0,,{},{1},{9},False,,12
BTC032,,,,2.0,,{},{1},{9},False,,12
BTC036,,,,2.0,,{},{1},{9},False,,12
BTC041,,,,2.0,,{},{1},{9},False,,12
BTC043,,,,2.0,,{},{1},{9},False,,12
BTC045,,,,2.0,,{},{1},{9},False,,12
BTC048,,,,2.0,,{},{1},{9},False,,12
BTC060,,,,2.0,,{},{1},{9},False,,12
BTL006,,,,2.0,,{},{1},{9},False,,12
BTN007,,,,2.0,,{},{1},{9},False,,12
BTT007,,,,2.0,,{},{1},{9},False,,12
BTVLY,,,,2.0,,{},{1},{9},False,,12
BUCKS,,,,2.0,,{},{1},{9},False,,12
BUK007,,,,2.0,,{},{1},{9},False,,12
BUR005,,,,2.0,,{},{1},{9},False,,12
